authors,docId,docLabel,docTitle,docType,doi,href,publicationDate,publisher,resolvedHref,status.active,details,abstract,references.bibliographic,contentType,abbrevTitle,articleType,copyright.holder,copyright.year,issn.print,journalAcronym,keywords,number,pages,publisherLocation.city,publisherLocation.country,volume,revisionOf,status.stabilized,status.superseded,status.supersededBy,status.amended,status.amendedBy,status.reaffirmed,docSuiteTitle,group,references.normative,status.draft,status.unknown,status.withdrawn,status.latestVersion,status.stabilizedDate,status.statusNote,status.supersededDate,status.versionless,status.amendedDate,docNumber,docPart,status.withdrawnDate,isbn,status.errataExist,repo,relatedDocs,status.reaffirmDate,issn,status.errataUrl,status.supersedes,status.amends,releaseTag,status.state,status.stage,approvalDate,icsCodes,productNumber,standardId,familyId,status.withdrawnNotice,depositDate,docElement,status.supersededByr,xmlNamespace
"[""H. E. Ives"",""J. W. Horton"",""R. D. Parker"",""A. B. Clark""]",10.1002-j.1538-7305.1925.tb00946.x,"The Bell System Technical Journal ( Volume: 4, Issue: 2, April 1925)",The transmission of pictures over telephone lines,Journal Article,10.1002/j.1538-7305.1925.tb00946.x,https://doi.org/10.1002/j.1538-7305.1925.tb00946.x,1925-04-01,Nokia Bell Labs,https://ieeexplore.ieee.org/document/6773399,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""S. B. Wright"",""H. C. Silent""]",10.1002-j.1538-7305.1927.tb00216.x,"The Bell System Technical Journal ( Volume: 6, Issue: 4, October 1927)",The New York-London telephone circuit,Journal Article,10.1002/j.1538-7305.1927.tb00216.x,https://doi.org/10.1002/j.1538-7305.1927.tb00216.x,1927-10-01,Nokia Bell Labs,https://ieeexplore.ieee.org/document/6771817,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A. Tulsi Ram""]",10.1016-0141-3910.90.90019-4,"Polymer Degradation and Stability Volume 29, Issue 1, 1990, Pages 3-29",Archival preservation of photographic films—A perspective,Journal Article,10.1016/0141-3910(90)90019-4,https://doi.org/10.1016/0141-3910(90)90019-4,undefined,ScienceDirect,https://linkinghub.elsevier.com/retrieve/pii/0141391090900194,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. A. Jones"",""R. B. Wilsey""]",10.1016-S0016-0032.18.90991-9,"J. Franklin Institute, vol. 185, pp. 231, Feb. 1918","The spectral selectivity of photographic deposits: Part I. Theory, Nomenclature, and Methods",Journal Article,10.1016/S0016-0032(18)90991-9,https://doi.org/10.1016/S0016-0032(18)90991-9,1918-02-01,Franklin Institute,https://linkinghub.elsevier.com/retrieve/pii/S0016003218909919,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J.G. Capstaff"",""R.A. Purdy""]",10.1016-S0016-0032.28.92060-8,"Trans. Soc. Mot. Pict. Eng., vol. XI, no. 31, pp. 607, 1928.",A compact motion picture densitometer,Journal Article,10.1016/S0016-0032(28)92060-8,https://doi.org/10.1016/S0016-0032(28)92060-8,1928-02-01,Franklin Institute,https://linkinghub.elsevier.com/retrieve/pii/S0016003228920608,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Ralph M. Evans"",""W. T. Hanson Jr"",""W. Lyle Brewer""]",10.1063-1.3061757,"Physics Today 7, 9, 18 (1954)",Principles of Color Photography,Journal Article,10.1063/1.3061757,https://doi.org/10.1063/1.3061757,1954-09-01,Physics Today,https://physicstoday.aip.org/reviews/principles-of-color-photography,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A J Bull"",""H Mills Cartwrigh""]",10.1088-0950-7671.1.3.302,"Journal of Scientific Instruments, Volume 1, Number 3",The measurement of photographic density,Journal Article,10.1088/0950-7671/1/3/302,https://doi.org/10.1088/0950-7671/1/3/302,1923-01-01,IOP Publishing Ltd,https://iopscience.iop.org/article/10.1088/0950-7671/1/3/302,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""R.L. Bradshaw"",""T.W. Reid""]",10.1109-20.105066,"IEEE Transactions on Magnetics ( Volume: 27, Issue: 5, September 1991)",Archival stability of IBM 3480/3490 cartridge tapes,Journal Article,10.1109/20.105066,https://doi.org/10.1109/20.105066,1991-09-01,IEEE,https://ieeexplore.ieee.org/document/105066/,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""M.C.A. Mathur"",""G.F. Hudson"",""L.D. Hackett""]",10.1109-20.179492,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",A detailed study of the environmental stability of metal particle tapes,Journal Article,10.1109/20.179492,https://doi.org/10.1109/20.179492,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179492/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Y. Okazaki"",""K. Hara"",""T. Kawashima"",""A. Sato"",""T. Hirano""]",10.1109-20.179493,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",Estimating the archival life of metal particulate tape,Journal Article,10.1109/20.179493,https://doi.org/10.1109/20.179493,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179493/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""M.R. Parker"",""S. Venkataram"",""D. DeSmet""]",10.1109-20.179494,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",Magnetic and magneto-photoellipsometric evaluation of corrosion in metal-particle media,Journal Article,10.1109/20.179494,https://doi.org/10.1109/20.179494,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179494/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""D.E. Speliotis"",""K.J. Peter""]",10.1109-20.278927,"IEEE Transactions on Magnetics ( Volume: 27, Issue: 6, November 1991)","Corrosion study of metal particle, metal film, and Ba-ferrite tape",Journal Article,10.1109/20.278927,https://doi.org/10.1109/20.278927,1991-11-01,IEEE,https://ieeexplore.ieee.org/document/278927/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""M. Vos"",""G. Ashton"",""J. Van Bogart"",""R. Ensminger""]",10.1109-20.312264,"IEEE Transactions on Magnetics ( Volume: 30, Issue: 2, March 1994)",Heat and moisture diffusion in magnetic tape packs,Journal Article,10.1109/20.312264,https://doi.org/10.1109/20.312264,1994-03-01,IEEE,https://ieeexplore.ieee.org/document/312264/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. J. Sivian""]",10.1121-1.1915182,"J. Acoust. Soc. of Amer., vol. 1, no. 2, pp. 1, Jan. 1930",Speech Power and Its Measurement,Journal Article,10.1121/1.1915182,https://doi.org/10.1121/1.1915182,1930-01-01,Acoustical Society of America,undefined,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J. A. Pierce"",""F. V. Hunt""]",10.1121-1.1915951,"Jour. Acous. Soc. Amer., vol. 10, pp. 14-28, July 1938.",On Distortion in Sound Reproduction from Phonograph Records,Journal Article,10.1121/1.1915951,https://doi.org/10.1121/1.1915951,1938-01-01,Acoustical Society of America,undefined,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""W. D. Lewis"",""F. V. Hunt""]",10.1121-1.1916111,"Jour. Acous. Soc. Amer., vol. 12, pp. 348-365, January 1941",A Theory of Tracing Distortion in Sound Reproduction from Phonograph Records,Journal Article,10.1121/1.1916111,https://doi.org/10.1121/1.1916111,1941-01-01,Acoustical Society of America,undefined,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""P. Z. Adelstein"",""J. L. Bigourdan"",""J. M. Reilly""]",10.1179-JAIC.019713697806124475,"JAIC 1997, Volume 36, Number 3, Article 2 (pp. 193 to 206)",Moisture Relationships of Photographic Film,Journal Article,10.1179/019713697806124475,https://cool.culturalheritage.org/jaic/articles/jaic36-03-002_indx.html,undefined,American Institute for Conservation,undefined,true,undefined,"The moisture content of photographic film is a critical feature that influences physical properties, mold growth, and chemical stability. It is characterized by the moisture equilibrium curve, which is a plot of the moisture content as a function of the relative humidity. The effect of temperature on the moisture equilibrium curve is the main thrust of this article, which discusses the practical implications of these data for accelerated incubation studies. The temperature effect on the rates of moisture conditioning on film in several practical storage configurations and enclosures is presented. Finally, data are given on the moisture protection afforded by different enclosures, leading to recommendations on the cold storage of photographic film.",null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""2 Blazier, Warren E., Jr""]",10.3397-1.2832172,"Noise Control Engineering Volume 16, Number 2, 1 March 1981, pp. 64-73(10)",Revised noise criteria for application in the acoustical design and rating of HVAC systems,White Paper,10.3397/1.2832172,https://doi.org/10.3397/1.2832172,1981-03-01,Institute of Noise Control Engineering of the USA,https://ince.publisher.ingentaconnect.com/content/ince/nce/1981/00000016/00000002/art00002,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J. G. Streiffert""]",10.5594-J01217,"Journal of the Society of Motion Picture Engineers ( Volume: 57, Issue: 6, December 1951)","The Radial-Tooth, Variable-Pitch Sprocket",Journal Article,10.5594/J01217,https://doi.org/10.5594/J01217,1951-12-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20and%20Television%20Engineers/57/6/5/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Burton F. Miller""]",10.5594-J01273,"Journal of the Society of Motion Picture Engineers ( Volume: 27, Issue: 3, September 1936)",Harmonic Distortion in Variable-Density Records,Journal Article,10.5594/J01273,https://doi.org/10.5594/J01273,1936-09-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/27/3/10/,true,undefined,undefined,"[""10.5594-J05508"",""10.5594-J05389""]",undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Russell P. May""]",10.5594-J01341,"Journal of the Society of Motion Picture Engineers ( Volume: 18, Issue: 4, April 1932)",16 mm. Sound Film Dimensions,Journal Article,10.5594/J01341,https://doi.org/10.5594/J01341,1932-04-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/18/4/10/,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""C. N. Batsel"",""J. O. Baker""]",10.5594-J02042,"Journal of the Society of Motion Picture Engineers ( Volume: 21, Issue: 2, August 1933)",Sound Recording and Reproducing Using 16-mm. Film,Journal Article,10.5594/J02042,https://doi.org/10.5594/J02042,1933-08-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/21/2/9/,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""P. Z. Adelstein"",""J. M. Reilly"",""D. W. Nishimura"",""C. J. Erbland""]",10.5594-J02284,"SMPTE Journal ( Volume: 101, Issue: 5, May 1992)",Stability of Cellulose Ester Base Photographic Film: Part I — Laboratory Testing Procedures,Journal Article,10.5594/J02284,https://doi.org/10.5594/J02284,1992-05-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/101/5/8/,true,Need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""P. Z. Adelstein"",""J. M. Reilly"",""D. W. Nishimura"",""C. J. Erbland""]",10.5594-J02285,"SMPTE Journal ( Volume: 101, Issue: 5, May 1992)",Stability of Cellulose Ester Base Photographic Film: Part II — Practical Storage Considerations,Journal Article,10.5594/J02285,https://doi.org/10.5594/J02285,1992-05-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/101/5/9/,true,Need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Karel A. H. Brems""]",10.5594-J02850,"SMPTE Journal ( Volume: 97, Issue: 12, December 1988)",The Archival Quality of Film Bases,Journal Article,10.5594/J02850,https://doi.org/10.5594/J02850,1988-12-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/97/12/22/,true,Need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A. Tulsi Ram"",""James L. McCrea""]",10.5594-J02945,"SMPTE Journal ( Volume: 97, Issue: 6, June 1988)",Stability of Processed Cellulose Ester Photographic Films,Journal Article,10.5594/J02945,https://doi.org/10.5594/J02945,1988-06-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/97/6/19/,true,Need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Edward Mino"",""Rodney S. Perry""]",10.5594-J04132,"SMPTE Journal ( Volume: 92, Issue: 10, October 1983)",Lubrication of 35-mm Release Prints for Extended Projection Print Life,Journal Article,10.5594/J04132,https://doi.org/10.5594/J04132,1983-10-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/92/10/23/,true,need to add references,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Alexander F. Victor""]",10.5594-J04161,"Transactions of the Society of Motion Picture Engineers ( Volume: 3, Issue: 9, October 1919)",The Continuous Reduction Printer,Journal Article,10.5594/J04161,https://doi.org/10.5594/J04161,1919-10-01,SMPTE,https://journal.smpte.org/periodicals/Transactions%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/3/9/10/,true,undefined,undefined,null,undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Jim Wilkinson""]",10.5594-J05297,"SMPTE Journal, July 2000 Vol. 109, No. 7, Page(s): 579 - 586",The SMPTE Data Coding Protocol and Dictionaries,Journal Article,10.5594/J05297,https://doi.org/10.5594/J05297,2000-07-01,SMPTE,https://journal.smpte.org/periodicals/SMPTE%20Journal/109/7/14/,true,undefined,undefined,"[""ISO.8825-1""]",undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""O. Sandvik"",""J. G. Streiffert""]",10.5594-J05384,"Journal of the Society of Motion Picture Engineers ( Volume: 25, Issue: 2, August 1935)",A Continuous Optical Reduction Sound Printer,Journal Article,10.5594/J05384,https://doi.org/10.5594/J05384,1935-08-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/25/2/6/,true,undefined,undefined,"[""10.5594-J07429"",""10.5594-J07431""]",undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. G. Albin""]",10.5594-J05389,"Journal of the Society of Motion Picture Engineers ( Volume: 25, Issue: 2, August 1935)",A Dynamic Check on the Processing of Film for Sound Records,Journal Article,10.5594/J05389,https://doi.org/10.5594/J05389,1935-08-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/25/2/11/,true,undefined,undefined,"[""10.5594-J08011"",""JOSA.4.000420""]",undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. T. Sachtleben""]",10.5594-J05391,"Journal of the Society of Motion Picture Engineers ( Volume: 25, Issue: 2, August 1935)",Characteristics of the Photophone Light-Modulating System,Journal Article,10.5594/J05391,https://doi.org/10.5594/J05391,1935-08-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/25/2/13/,true,undefined,undefined,"[""10.5594-J13051"",""10.5594-J07506"",""10.5594-J13134"",""10.5594-J05467"",""10.5594-J10104"",""10.5594-J10133"",""10.5594-J14768"",""10.5594-J07441"",""10.5594-J05521""]",undefined,undefined,undefined,null,null,null,undefined,undefined,undefined,undefined,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
